U1/V	IA/nA
8,84	0,22
8,86	0,22
8,88	0,23
8,91	0,24
8,93	0,24
8,96	0,24
8,98	0,25
9,01	0,25
9,03	0,24
9,05	0,25
9,08	0,25
9,10	0,23
9,13	0,22
9,15	0,23
9,18	0,20
9,20	0,18
9,23	0,19
9,25	0,22
9,27	0,22
9,30	0,23
9,32	0,24
9,35	0,24
9,37	0,21
9,40	0,21
9,42	0,22
9,45	0,23
9,47	0,24
9,49	0,25
9,52	0,26
9,54	0,28
9,57	0,27
9,59	0,28
9,62	0,29
9,64	0,28
9,67	0,24
9,69	0,25
9,71	0,23
9,74	0,21
9,76	0,22
9,79	0,26
9,81	0,25
9,84	0,25
9,86	0,28
9,89	0,27
9,91	0,25
9,93	0,24
9,96	0,28
9,98	0,26
10,01	0,25
10,03	0,25
10,06	0,25
10,08	0,23
10,10	0,24
10,13	0,27
10,15	0,29
10,18	0,30
10,20	0,32
10,23	0,32
10,25	0,30
10,28	0,28
10,30	0,29
10,32	0,29
10,35	0,29
10,37	0,31
10,40	0,36
10,42	0,35
10,45	0,34
10,47	0,35
10,50	0,37
10,52	0,33
10,54	0,34
10,57	0,37
10,59	0,37
10,62	0,36
10,64	0,39
10,67	0,40
10,69	0,40
10,72	0,41
10,74	0,43
10,76	0,43
10,79	0,43
10,81	0,42
10,84	0,43
10,86	0,44
10,89	0,40
10,91	0,40
10,94	0,41
10,96	0,42
10,98	0,41
11,01	0,45
11,03	0,47
11,06	0,47
11,08	0,48
11,11	0,50
11,13	0,48
11,15	0,47
11,18	0,48
11,20	0,49
11,23	0,48
11,25	0,54
11,28	0,56
11,30	0,57
11,33	0,56
11,35	0,57
11,37	0,54
11,40	0,54
11,42	0,54
11,45	0,54
11,47	0,56
11,50	0,59
11,52	0,59
11,55	0,60
11,57	0,61
11,59	0,60
11,62	0,59
11,64	0,61
11,67	0,61
11,69	0,60
11,72	0,61
11,74	0,59
11,77	0,56
11,79	0,57
11,81	0,59
11,84	0,60
11,86	0,62
11,89	0,62
11,91	0,63
11,94	0,61
11,96	0,59
11,99	0,59
12,01	0,61
12,03	0,58
12,06	0,59
12,08	0,62
12,11	0,65
12,13	0,65
12,16	0,66
12,18	0,67
12,21	0,65
12,23	0,63
12,25	0,65
12,28	0,64
12,30	0,62
12,33	0,62
12,35	0,65
12,38	0,64
12,40	0,64
12,42	0,67
12,45	0,68
12,47	0,63
12,50	0,62
12,52	0,62
12,55	0,60
12,57	0,58
12,60	0,61
12,62	0,61
12,64	0,60
12,67	0,59
12,69	0,60
12,72	0,59
12,74	0,58
12,77	0,60
12,79	0,61
12,82	0,60
12,84	0,56
12,86	0,56
12,89	0,56
12,91	0,52
12,94	0,51
12,96	0,55
12,99	0,54
13,01	0,52
13,04	0,54
13,06	0,54
13,08	0,52
13,11	0,50
13,13	0,51
13,16	0,51
13,18	0,50
13,21	0,52
13,23	0,51
13,26	0,49
13,28	0,50
13,30	0,51
13,33	0,49
13,35	0,48
13,38	0,48
13,40	0,46
13,43	0,45
13,45	0,44
13,47	0,44
13,50	0,45
13,52	0,47
13,55	0,46
13,57	0,46
13,60	0,46
13,62	0,44
13,65	0,42
13,67	0,42
13,69	0,41
13,72	0,38
13,74	0,39
13,77	0,37
13,79	0,36
13,82	0,36
13,84	0,38
13,87	0,38
13,89	0,40
13,91	0,40
13,94	0,42
13,96	0,40
13,99	0,39
14,01	0,39
14,04	0,40
14,06	0,42
14,09	0,41
14,11	0,42
14,13	0,44
14,16	0,43
14,18	0,40
14,21	0,42
14,23	0,42
14,26	0,39
14,28	0,39
14,31	0,40
14,33	0,38
14,35	0,36
14,38	0,41
14,40	0,42
14,43	0,41
14,45	0,43
14,48	0,47
14,50	0,45
14,52	0,42
14,55	0,43
14,57	0,43
14,60	0,42
14,62	0,41
14,65	0,43
14,67	0,45
14,70	0,44
14,72	0,44
14,74	0,48
14,77	0,47
14,79	0,47
14,82	0,50
14,84	0,51
14,87	0,47
14,89	0,47
14,92	0,51
14,94	0,53
14,96	0,53
14,99	0,60
15,01	0,62
15,04	0,60
15,06	0,58
15,09	0,60
15,11	0,58
15,14	0,58
15,16	0,59
15,18	0,63
15,21	0,64
15,23	0,66
15,26	0,69
15,28	0,71
15,31	0,72
15,33	0,73
15,36	0,75
15,38	0,75
15,40	0,76
15,43	0,76
15,45	0,78
15,48	0,75
15,50	0,76
15,53	0,78
15,55	0,81
15,57	0,82
15,60	0,87
15,62	0,90
15,65	0,91
15,67	0,91
15,70	0,93
15,72	0,92
15,75	0,93
15,77	0,93
15,79	0,95
15,82	0,96
15,84	1,01
15,87	1,03
15,89	1,06
15,92	1,06
15,94	1,08
15,97	1,05
15,99	1,06
16,01	1,07
16,04	1,07
16,06	1,09
16,09	1,14
16,11	1,14
16,14	1,15
16,16	1,19
16,19	1,20
16,21	1,17
16,23	1,19
16,26	1,20
16,28	1,18
16,31	1,18
16,33	1,18
16,36	1,18
16,38	1,16
16,41	1,18
16,43	1,21
16,45	1,22
16,48	1,21
16,50	1,23
16,53	1,23
16,55	1,21
16,58	1,19
16,60	1,20
16,63	1,19
16,65	1,19
16,67	1,19
16,70	1,24
16,72	1,23
16,75	1,21
16,77	1,21
16,80	1,21
16,82	1,16
16,84	1,15
16,87	1,17
16,89	1,15
16,92	1,12
16,94	1,16
16,97	1,16
16,99	1,14
17,02	1,15
17,04	1,18
17,06	1,14
17,09	1,10
17,11	1,09
17,14	1,07
17,16	1,05
17,19	1,03
17,21	1,04
17,24	1,03
17,26	1,02
17,28	1,00
17,31	1,00
17,33	1,00
17,36	0,97
17,38	0,97
17,41	0,97
17,43	0,92
17,46	0,88
17,48	0,87
17,50	0,87
17,53	0,83
17,55	0,85
17,58	0,86
17,60	0,85
17,63	0,82
17,65	0,81
17,68	0,78
17,70	0,75
17,72	0,73
17,75	0,72
17,77	0,73
17,80	0,76
17,82	0,75
17,85	0,76
17,87	0,76
17,89	0,73
17,92	0,70
17,94	0,70
17,97	0,68
17,99	0,64
18,02	0,63
18,04	0,62
18,07	0,60
18,09	0,59
18,11	0,62
18,14	0,62
18,16	0,61
18,19	0,60
18,21	0,59
18,24	0,54
18,26	0,53
18,29	0,53
18,31	0,53
18,33	0,51
18,36	0,51
18,38	0,51
18,41	0,49
18,43	0,48
18,46	0,50
18,48	0,50
18,51	0,50
18,53	0,47
18,55	0,48
18,58	0,46
18,60	0,42
18,63	0,42
18,65	0,47
18,68	0,46
18,70	0,46
18,73	0,50
18,75	0,50
18,77	0,47
18,80	0,47
18,82	0,49
18,85	0,47
18,87	0,46
18,90	0,48
18,92	0,48
18,94	0,46
18,97	0,48
18,99	0,50
19,02	0,50
19,04	0,50
19,07	0,52
19,09	0,52
19,12	0,52
19,14	0,51
19,16	0,51
19,19	0,52
19,21	0,53
19,24	0,55
19,26	0,58
19,29	0,59
19,31	0,59
19,34	0,59
19,36	0,60
19,38	0,58
19,41	0,58
19,43	0,61
19,46	0,60
19,48	0,58
19,51	0,61
19,53	0,64
19,56	0,65
19,58	0,70
19,60	0,74
19,63	0,77
19,65	0,77
19,68	0,77
19,70	0,78
19,73	0,79
19,75	0,79
19,78	0,82
19,80	0,85
19,82	0,88
19,85	0,88
19,87	0,92
19,90	0,95
19,92	0,95
19,95	0,95
19,97	0,99
19,99	1,02
20,02	1,00
20,04	1,04
20,07	1,08
20,09	1,07
20,12	1,09
20,14	1,14
20,17	1,18
20,19	1,17
20,21	1,20
20,24	1,24
20,26	1,25
20,29	1,26
20,31	1,28
20,34	1,32
20,36	1,33
20,39	1,35
20,41	1,37
20,43	1,44
20,46	1,46
20,48	1,49
20,51	1,54
20,53	1,57
20,56	1,55
20,58	1,57
20,61	1,59
20,63	1,59
20,65	1,61
20,68	1,69
20,70	1,71
20,73	1,71
20,75	1,73
20,78	1,76
20,80	1,74
20,83	1,75
20,85	1,78
20,87	1,79
20,90	1,79
20,92	1,81
20,95	1,84
20,97	1,84
21,00	1,86
21,02	1,87
21,05	1,87
21,07	1,87
21,09	1,86
21,12	1,87
21,14	1,86
21,17	1,82
21,19	1,82
21,22	1,85
21,24	1,85
21,26	1,85
21,29	1,91
21,31	1,91
21,34	1,89
21,36	1,88
21,39	1,88
21,41	1,83
21,44	1,81
21,46	1,81
21,48	1,80
21,51	1,79
21,53	1,81
21,56	1,82
21,58	1,80
21,61	1,78
21,63	1,77
21,66	1,73
21,68	1,70
21,70	1,67
21,73	1,66
21,75	1,64
21,78	1,64
21,80	1,63
21,83	1,62
21,85	1,62
21,88	1,59
21,90	1,55
21,92	1,54
21,95	1,51
21,97	1,47
22,00	1,46
22,02	1,43
22,05	1,39
22,07	1,36
22,10	1,36
22,12	1,34
22,14	1,32
22,17	1,32
22,19	1,33
22,22	1,29
22,24	1,24
22,27	1,20
22,29	1,18
22,31	1,12
22,34	1,08
22,36	1,08
22,39	1,12
22,41	1,09
22,44	1,09
22,46	1,10
22,49	1,07
22,51	1,00
22,53	0,99
22,56	0,97
22,58	0,93
22,61	0,90
22,63	0,93
22,66	0,90
22,68	0,86
22,71	0,88
22,73	0,89
22,75	0,84
22,78	0,83
22,80	0,83
22,83	0,80
22,85	0,75
22,88	0,74
22,90	0,74
22,93	0,73
22,95	0,71
22,97	0,71
23,00	0,70
23,02	0,68
23,05	0,66
23,07	0,67
23,10	0,67
23,12	0,63
23,15	0,62
23,17	0,62
23,19	0,57
23,22	0,55
23,24	0,57
23,27	0,59
23,29	0,58
23,32	0,59
23,34	0,61
23,36	0,61
23,39	0,59
23,41	0,59
23,44	0,59
23,46	0,58
23,49	0,61
23,51	0,61
23,54	0,61
23,56	0,62
23,58	0,62
23,61	0,60
23,63	0,59
23,66	0,60
23,68	0,60
23,71	0,61
23,73	0,61
23,76	0,60
23,78	0,62
23,80	0,64
23,83	0,63
23,85	0,64
23,88	0,67
23,90	0,68
23,93	0,66
23,95	0,68
23,98	0,68
24,00	0,67
24,02	0,68
24,05	0,69
24,07	0,71
24,10	0,71
24,12	0,74
24,15	0,76
24,17	0,78
24,20	0,81
24,22	0,85
24,24	0,86
24,27	0,88
24,29	0,88
24,32	0,90
24,34	0,94
24,37	0,95
24,39	0,98
24,42	1,03
24,44	1,03
24,46	1,02
24,49	1,05
24,51	1,06
24,54	1,05
24,56	1,09
24,59	1,14
24,61	1,16
24,63	1,18
24,66	1,24
24,68	1,27
24,71	1,27
24,73	1,32
24,76	1,37
24,78	1,38
24,81	1,41
24,83	1,43
24,85	1,46
24,88	1,47
24,90	1,47
24,93	1,52
24,95	1,57
24,98	1,59
25,00	1,62
25,03	1,73
25,05	1,76
25,07	1,78
25,10	1,83
25,12	1,88
25,15	1,85
25,17	1,87
25,20	1,92
25,22	1,94
25,25	1,96
25,27	2,04
25,29	2,10
25,32	2,13
25,34	2,16
25,37	2,21
25,39	2,21
25,42	2,21
25,44	2,23
25,47	2,27
25,49	2,30
25,51	2,33
25,54	2,37
25,56	2,42
25,59	2,44
25,61	2,45
25,64	2,47
25,66	2,49
25,68	2,49
25,71	2,52
25,73	2,55
25,76	2,53
25,78	2,53
25,81	2,54
25,83	2,56
25,86	2,55
25,88	2,60
25,90	2,63
25,93	2,64
25,95	2,62
25,98	2,63
26,00	2,60
26,03	2,60
26,05	2,59
26,08	2,58
26,10	2,58
26,12	2,62
26,15	2,61
26,17	2,62
26,20	2,62
26,22	2,60
26,25	2,57
26,27	2,57
26,30	2,54
26,32	2,52
26,34	2,50
26,37	2,51
26,39	2,47
26,42	2,46
26,44	2,47
26,47	2,47
26,49	2,41
26,52	2,40
26,54	2,38
26,56	2,34
26,59	2,30
26,61	2,26
26,64	2,23
26,66	2,20
26,69	2,18
26,71	2,16
26,73	2,16
26,76	2,13
26,78	2,10
26,81	2,07
26,83	2,04
26,86	1,97
26,88	1,94
26,91	1,91
26,93	1,86
26,95	1,83
26,98	1,87
27,00	1,85
27,03	1,81
27,05	1,80
27,08	1,77
27,10	1,71
27,13	1,69
27,15	1,67
27,17	1,64
27,20	1,61
27,22	1,60
27,25	1,57
27,27	1,52
27,30	1,50
27,32	1,49
27,35	1,45
27,37	1,42
27,39	1,39
27,42	1,37
27,44	1,35
27,47	1,29
27,49	1,27
27,52	1,27
27,54	1,24
27,57	1,21
27,59	1,21
27,61	1,19
27,64	1,15
27,66	1,10
27,69	1,10
27,71	1,04
27,74	1,01
27,76	1,01
27,78	0,99
27,81	0,96
27,83	0,97
27,86	0,97
27,88	0,96
27,91	0,95
27,93	0,94
27,96	0,95
27,98	0,92
28,00	0,88
28,03	0,87
28,05	0,86
28,08	0,86
28,10	0,86
28,13	0,87
28,15	0,88
28,18	0,85
28,20	0,83
28,22	0,84
28,25	0,83
28,27	0,81
28,30	0,82
28,32	0,82
28,35	0,78
28,37	0,77
28,40	0,79
28,42	0,79
28,44	0,78
28,47	0,81
28,49	0,82
28,52	0,80
28,54	0,80
28,57	0,81
28,59	0,80
28,62	0,80
28,64	0,80
28,66	0,81
28,69	0,81
28,71	0,81
28,74	0,82
28,76	0,86
28,79	0,86
28,81	0,88
28,84	0,91
28,86	0,92
28,88	0,90
28,91	0,92
28,93	0,96
28,96	0,96
28,98	0,97
29,01	1,03
29,03	1,06
29,05	1,05
29,08	1,08
29,10	1,11
29,13	1,09
29,15	1,10
29,18	1,13
29,20	1,16
29,23	1,17
29,25	1,21
29,27	1,25
29,30	1,27
29,32	1,29
29,35	1,33
29,37	1,36
29,40	1,39
29,42	1,41
29,45	1,44
29,47	1,47
29,49	1,45
29,52	1,48
29,54	1,53
29,57	1,57
29,59	1,59
29,62	1,67
29,64	1,72
29,67	1,75
29,69	1,77
29,71	1,84
29,74	1,86
29,76	1,87
29,79	1,90
29,81	1,94
29,84	1,96
29,86	2,03
29,89	2,09
29,91	2,15
29,93	2,19
29,96	2,23
29,98	2,27
30,01	2,30
30,03	2,32
30,06	2,35
30,08	2,41
30,10	2,44
30,13	2,47
30,15	2,52
30,18	2,57
30,20	2,59
30,23	2,61
30,25	2,66
30,28	2,70
30,30	2,71
30,32	2,77
30,35	2,79
30,37	2,81
30,40	2,83
30,42	2,88
30,45	2,90
30,47	2,94
30,50	2,98
30,52	3,02
30,54	3,03
30,57	3,05
30,59	3,06
30,62	3,08
30,64	3,09
30,67	3,10
30,69	3,12
30,72	3,19
30,74	3,20
30,76	3,22
30,79	3,24
30,81	3,25
30,84	3,22
30,86	3,23
30,89	3,24
30,91	3,22
30,94	3,20
30,96	3,22
30,98	3,22
31,01	3,20
31,03	3,23
31,06	3,24
31,08	3,21
31,11	3,20
31,13	3,20
31,15	3,18
31,18	3,15
31,20	3,12
31,23	3,11
31,25	3,09
31,28	3,07
31,30	3,05
31,33	3,04
31,35	3,01
31,37	2,99
31,40	2,97
31,42	2,96
31,45	2,92
31,47	2,90
31,50	2,87
31,52	2,82
31,55	2,78
31,57	2,80
31,59	2,79
31,62	2,76
31,64	2,75
31,67	2,72
31,69	2,67
31,72	2,61
31,74	2,57
31,77	2,55
31,79	2,53
31,81	2,53
31,84	2,51
31,86	2,48
31,89	2,45
31,91	2,41
31,94	2,35
31,96	2,31
31,99	2,28
32,01	2,22
32,03	2,20
32,06	2,17
32,08	2,11
32,11	2,08
32,13	2,09
32,16	2,05
32,18	2,01
32,20	2,01
32,23	1,97
32,25	1,89
32,28	1,87
32,30	1,84
32,33	1,80
32,35	1,77
32,38	1,74
32,40	1,70
32,42	1,67
32,45	1,65
32,47	1,64
32,50	1,64
32,52	1,63
32,55	1,62
32,57	1,60
32,60	1,55
32,62	1,50
32,64	1,48
32,67	1,49
32,69	1,45
32,72	1,45
32,74	1,47
32,77	1,43
32,79	1,37
32,82	1,36
32,84	1,35
32,86	1,30
32,89	1,30
32,91	1,31
32,94	1,30
32,96	1,26
32,99	1,27
33,01	1,26
33,04	1,23
33,06	1,22
33,08	1,23
33,11	1,21
33,13	1,19
33,16	1,18
33,18	1,17
33,21	1,16
33,23	1,12
33,26	1,12
33,28	1,13
33,30	1,13
33,33	1,11
33,35	1,14
33,38	1,14
33,40	1,13
33,43	1,13
33,45	1,15
33,47	1,14
33,50	1,12
33,52	1,13
33,55	1,14
33,57	1,13
33,60	1,17
33,62	1,21
33,65	1,22
33,67	1,23
33,69	1,25
33,72	1,23
33,74	1,23
33,77	1,23
33,79	1,24
33,82	1,25
33,84	1,27
33,87	1,29
33,89	1,31
33,91	1,33
33,94	1,34
33,96	1,35
33,99	1,38
34,01	1,40
34,04	1,41
34,06	1,43
34,09	1,44
34,11	1,45
34,13	1,47
34,16	1,51
34,18	1,54
34,21	1,58
34,23	1,61
34,26	1,64
34,28	1,65
34,31	1,68
34,33	1,71
34,35	1,74
34,38	1,76
34,40	1,80
34,43	1,83
34,45	1,89
34,48	1,93
34,50	1,97
34,52	2,00
34,55	2,04
34,57	2,04
34,60	2,10
34,62	2,12
34,65	2,15
34,67	2,20
34,70	2,31
34,72	2,34
34,74	2,37
34,77	2,45
34,79	2,47
34,82	2,45
34,84	2,48
34,87	2,55
34,89	2,56
34,92	2,59
34,94	2,63
34,96	2,65
34,99	2,65
