	l=12,5	l=25	l=50	l=100		s(I_e)	s(I:b)
0,6	4	32,07	6,04				
0,7	4	32,2	7,32				
0,8	4	32,26	7,91				
0,9	4	32,41	9,38				
1	4	32,55	10,75				
1,1	4	32,63	11,54				
1,2	4	32,77	12,91				
1,3	4	32,86	13,79				
							
r	b  (mN/A)	s(b) (mN/A)					
0,99865	10,47	0,16					
							
l  (mm)	b  $\pm 0,16 $   (mN/A)	Ie  $pm 0,1$   (A)	cte    $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$	s(cte)   $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$			
12,5	10,4683	4	0,2094	0,0053			
l=25							
$I_B  \pm 0,05 \ \  (A)$	$I_e \pm 0,1 \ \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \pm 0,14 \ \ (mN)$				
0,1	4	32,22	2,73				
0,2	4	32,46	5,08				
0,3	4	32,69	7,34				
0,4	4	32,9	9,40				
0,5	4	33,14	11,75				
0,6	4	33,36	13,91				
0,7	4	33,55	15,77				
0,8	4	33,83	18,52				
0,9	4	34,02	20,39				
1	4	34,22	22,35				
1,1	4	34,46	24,70				
1,2	4	34,65	26,57				
1,3	4	34,81	28,14				
							
							
r	b  (mN/A)	s(b) (mN/A)					
0,99961	22,42	0,18					
							
l  (mm)	b  $\pm 0,18 $   (mN/A)	Ie  $pm 0,1$   (A)	cte    $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$	s(cte)   $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$			
25	22,4238	4	0,2242	0,0056			
l=50							
$I_B  \pm 0,05 \ \  (A)$	$I_e \pm 0,1 \ \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \pm 0,14 \ \ (mN)$				
0,1	4	38,94	4,32				
0,2	4	39,38	8,63				
0,3	4	39,78	12,56				
0,4	4	40,21	16,78				
0,5	4	40,56	20,21				
0,6	4	40,96	24,13				
0,7	4	41,39	28,35				
0,8	4	41,78	32,18				
0,9	4	42,15	35,81				
1	4	42,55	39,73				
1,1	4	42,98	43,95				
1,2	4	43,43	48,36				
1,3	4	43,74	51,40				
							
							
r	b  (mN/A)	s(b) (mN/A)					
0,99992	40,04	0,15					
							
l  (mm)	b  $\pm 0,24$   (mN/A)	Ie  $pm 0,1$   (A)	cte    $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$	s(cte)   $(\mathrm{N}/(\mathrm{m} \cdot \mathhrm{A}^2$			
50	40,0449	4	0,2002	0,0050			
l=100							
$I_B  \pm 0,05 \ \  (A)$	$I_e \pm 0,1 \ \ (A) $	P$\pm 0,01\ \ (g)$	$F_{mag} \pm 0,14 \ \ (mN)$				
0,1	4	37,21	9,67				
0,2	4	37,98	17,23				
0,3	4	38,77	24,98				
0,4	4	39,58	32,92				
0,5	4	40,34	40,38				
